date,OT
2025-01-22 00:00:00,6231.8
2025-01-22 00:01:00,6308.516667
2025-01-22 00:02:00,6282.566667
2025-01-22 00:03:00,6240.45
2025-01-22 00:04:00,6202.6
2025-01-22 00:05:00,6201.483333
2025-01-22 00:06:00,6234.683333
2025-01-22 00:07:00,6237.566667
2025-01-22 00:08:00,6281.683333
2025-01-22 00:09:00,6297.333333
2025-01-22 00:10:00,6305.916667
2025-01-22 00:11:00,6331.033333
2025-01-22 00:12:00,6369.966667
2025-01-22 00:13:00,6378.583333
2025-01-22 00:14:00,6384.966667
2025-01-22 00:15:00,6361.883333
2025-01-22 00:16:00,6390.183333
2025-01-22 00:17:00,6357.716667
2025-01-22 00:18:00,6360.866667
2025-01-22 00:19:00,6376.366667
2025-01-22 00:20:00,6384.2
2025-01-22 00:21:00,6401.0
2025-01-22 00:22:00,6387.4
2025-01-22 00:23:00,6388.55
2025-01-22 00:24:00,6400.466667
2025-01-22 00:25:00,6391.633333
2025-01-22 00:26:00,6408.266667
2025-01-22 00:27:00,6438.833333
2025-01-22 00:28:00,6419.116667
2025-01-22 00:29:00,6459.433333
2025-01-22 00:30:00,6453.033333
2025-01-22 00:31:00,6471.3
2025-01-22 00:32:00,6508.25
2025-01-22 00:33:00,6523.85
2025-01-22 00:34:00,6549.533333
2025-01-22 00:35:00,6558.616667
2025-01-22 00:36:00,6584.083333
2025-01-22 00:37:00,6595.916667
2025-01-22 00:38:00,6593.733333
2025-01-22 00:39:00,6599.083333
2025-01-22 00:40:00,6666.183333
2025-01-22 00:41:00,6568.4
2025-01-22 00:42:00,6559.0
2025-01-22 00:43:00,6589.933333
2025-01-22 00:44:00,6550.8
2025-01-22 00:45:00,6600.216667
2025-01-22 00:46:00,6579.383333
2025-01-22 00:47:00,6580.766667
2025-01-22 00:48:00,6593.883333
2025-01-22 00:49:00,6628.0
2025-01-22 00:50:00,6615.083333
2025-01-22 00:51:00,6654.783333
2025-01-22 00:52:00,6680.9
2025-01-22 00:53:00,6762.35
2025-01-22 00:54:00,6799.833333
2025-01-22 00:55:00,6830.25
2025-01-22 00:56:00,6882.35
2025-01-22 00:57:00,6907.65
2025-01-22 00:58:00,6909.066667
2025-01-22 00:59:00,6908.916667
2025-01-22 01:00:00,6901.716667
2025-01-22 01:01:00,6954.683333
2025-01-22 01:02:00,6938.75
2025-01-22 01:03:00,6946.7
2025-01-22 01:04:00,7013.85
2025-01-22 01:05:00,7028.966667
2025-01-22 01:06:00,7053.566667
2025-01-22 01:07:00,7072.133333
2025-01-22 01:08:00,7084.2
2025-01-22 01:09:00,7066.666667
2025-01-22 01:10:00,7070.833333
2025-01-22 01:11:00,7106.5
2025-01-22 01:12:00,7072.316667
2025-01-22 01:13:00,7096.033333
2025-01-22 01:14:00,7101.266667
2025-01-22 01:15:00,7101.783333
2025-01-22 01:16:00,7096.0
2025-01-22 01:17:00,7130.833333
2025-01-22 01:18:00,7149.266667
2025-01-22 01:19:00,7190.9
2025-01-22 01:20:00,7235.9
2025-01-22 01:21:00,7272.95
2025-01-22 01:22:00,7279.316667
2025-01-22 01:23:00,7275.116667
2025-01-22 01:24:00,7306.083333
2025-01-22 01:25:00,7332.2
2025-01-22 01:26:00,7369.166667
2025-01-22 01:27:00,7387.116667
2025-01-22 01:28:00,7425.25
2025-01-22 01:29:00,7443.566667
2025-01-22 01:30:00,7457.866667
2025-01-22 01:31:00,7483.716667
2025-01-22 01:32:00,7469.616667
2025-01-22 01:33:00,7470.95
2025-01-22 01:34:00,7474.933333
2025-01-22 01:35:00,7477.9
2025-01-22 01:36:00,7525.433333
2025-01-22 01:37:00,7520.85
2025-01-22 01:38:00,7482.266667
2025-01-22 01:39:00,7516.616667
2025-01-22 01:40:00,7530.116667
2025-01-22 01:41:00,7541.1
2025-01-22 01:42:00,7538.8
2025-01-22 01:43:00,7568.5
2025-01-22 01:44:00,7565.95
2025-01-22 01:45:00,7581.483333
2025-01-22 01:46:00,7626.4
2025-01-22 01:47:00,7653.533333
2025-01-22 01:48:00,7674.3
2025-01-22 01:49:00,7691.366667
2025-01-22 01:50:00,7730.816667
2025-01-22 01:51:00,7755.25
2025-01-22 01:52:00,7815.016667
2025-01-22 01:53:00,7818.2
2025-01-22 01:54:00,7873.1
2025-01-22 01:55:00,7883.416667
2025-01-22 01:56:00,7868.516667
2025-01-22 01:57:00,7885.033333
2025-01-22 01:58:00,7902.866667
2025-01-22 01:59:00,7919.8
2025-01-22 02:00:00,7934.3
2025-01-22 02:01:00,6815.916667
2025-01-22 02:02:00,5920.55
2025-01-22 02:03:00,5895.05
2025-01-22 02:04:00,5820.933333
2025-01-22 02:05:00,5800.116667
2025-01-22 02:06:00,5823.5
2025-01-22 02:07:00,5801.683333
2025-01-22 02:08:00,5793.65
2025-01-22 02:09:00,5778.283333
2025-01-22 02:10:00,5784.85
2025-01-22 02:11:00,5775.316667
2025-01-22 02:12:00,5757.8
2025-01-22 02:13:00,5770.25
2025-01-22 02:14:00,5790.316667
2025-01-22 02:15:00,5798.116667
2025-01-22 02:16:00,5819.433333
2025-01-22 02:17:00,5823.733333
2025-01-22 02:18:00,5824.933333
2025-01-22 02:19:00,5843.8
2025-01-22 02:20:00,5822.15
2025-01-22 02:21:00,5871.4
2025-01-22 02:22:00,5826.3
2025-01-22 02:23:00,5761.5
2025-01-22 02:24:00,5670.016667
2025-01-22 02:25:00,5639.716667
2025-01-22 02:26:00,5615.033333
2025-01-22 02:27:00,5616.216667
2025-01-22 02:28:00,5613.2
2025-01-22 02:29:00,5633.566667
2025-01-22 02:30:00,5632.533333
2025-01-22 02:31:00,5633.616667
2025-01-22 02:32:00,5625.05
2025-01-22 02:33:00,5626.616667
2025-01-22 02:34:00,5650.8
2025-01-22 02:35:00,5689.1
2025-01-22 02:36:00,5697.416667
2025-01-22 02:37:00,5712.783333
2025-01-22 02:38:00,5745.8
2025-01-22 02:39:00,5765.316667
2025-01-22 02:40:00,5778.883333
2025-01-22 02:41:00,5801.266667
2025-01-22 02:42:00,5809.166667
2025-01-22 02:43:00,5802.333333
2025-01-22 02:44:00,5785.5
2025-01-22 02:45:00,5783.883333
2025-01-22 02:46:00,5785.866667
2025-01-22 02:47:00,5796.866667
2025-01-22 02:48:00,5798.666667
2025-01-22 02:49:00,5807.15
2025-01-22 02:50:00,5844.983333
2025-01-22 02:51:00,5868.05
2025-01-22 02:52:00,5890.166667
2025-01-22 02:53:00,5887.166667
2025-01-22 02:54:00,5954.766667
2025-01-22 02:55:00,5981.2
2025-01-22 02:56:00,6018.85
